year,age,length_mm,dry_weight_mg
2019,8,12.451,2.863099735365587
2019,8,11.02,1.6562885056919907
2019,7,12.333,2.743449833015798
2019,5,10.578,1.3785961815540335
2019,7,9.702,0.9356964342043619
2019,5,9.033,0.6792518057105551
2019,5,9.76,0.9610355040520467
2019,4,7.322,0.26495428945292193
2019,7,10.862,1.5524568080663206
2019,10,10.122,1.1314747598411758
2019,9,11.029,1.6623612263925605
2019,5,9.698,0.9339682477093671
2019,7,13.714,4.415122546104726
2019,5,9.837,0.9954953954233196
2019,5,8.331,0.4726298571416736
2019,7,10.998,1.6415166253308615
2019,7,9.611,0.8969896492384697
2019,7,10.571,1.3745111089910436
2019,8,9.417,0.8186267897555038
2019,5,10.967,1.6208756649379907
2019,6,9.033,0.6792518057105551
